edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CASE_C_0001,RELATED_TO,CON_001,CASE_001,Contract,LegalEvent,关联合同-建材采购合同-宝山钢铁股份有限公司
CASE_C_0002,RELATED_TO,CON_002,CASE_002,Contract,LegalEvent,关联合同-建材采购合同-中国铝业股份有限公司
CASE_C_0003,RELATED_TO,CON_003,CASE_003,Contract,LegalEvent,关联合同-建材采购合同-紫金矿业集团股份有限公司
CASE_C_0004,RELATED_TO,CON_004,CASE_004,Contract,LegalEvent,关联合同-建材采购合同-江西铜业股份有限公司
CASE_C_0005,RELATED_TO,CON_005,CASE_005,Contract,LegalEvent,关联合同-建材采购合同-中国北方稀土(集团)高科技股份有限公司
CASE_C_0006,RELATED_TO,CON_006,CASE_006,Contract,LegalEvent,关联合同-建材采购合同-安徽海螺水泥股份有限公司
CASE_C_0007,RELATED_TO,CON_007,CASE_007,Contract,LegalEvent,关联合同-建材采购合同-天山材料股份有限公司
CASE_C_0008,RELATED_TO,CON_008,CASE_008,Contract,LegalEvent,关联合同-建材采购合同-中国中材国际工程股份有限公司
CASE_C_0009,RELATED_TO,CON_090,CASE_009,Contract,LegalEvent,关联合同-循环交易合同-恒大地产集团有限公司至南京栖霞建设股份有限公司
CASE_C_0010,RELATED_TO,CON_099,CASE_010,Contract,LegalEvent,关联合同-建材采购合同-广联达科技股份有限公司
