edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CT_000001,PAYS,SUP_001,TXN_IN_0001,Company,Transaction,付款-宝山钢铁股份有限公司向中国建筑股份有限公司支付
CT_000002,RECEIVES,TXN_IN_0001,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到宝山钢铁股份有限公司付款
CT_000003,PAYS,SUP_001,TXN_IN_0002,Company,Transaction,付款-宝山钢铁股份有限公司向中国建筑股份有限公司支付
CT_000004,RECEIVES,TXN_IN_0002,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到宝山钢铁股份有限公司付款
CT_000005,PAYS,SUP_002,TXN_IN_0003,Company,Transaction,付款-中国铝业股份有限公司向中国建筑股份有限公司支付
CT_000006,RECEIVES,TXN_IN_0003,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到中国铝业股份有限公司付款
CT_000007,PAYS,SUP_002,TXN_IN_0004,Company,Transaction,付款-中国铝业股份有限公司向中国建筑股份有限公司支付
CT_000008,RECEIVES,TXN_IN_0004,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到中国铝业股份有限公司付款
CT_000009,PAYS,SUP_003,TXN_IN_0005,Company,Transaction,付款-紫金矿业集团股份有限公司向中国建筑股份有限公司支付
CT_000010,RECEIVES,TXN_IN_0005,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到紫金矿业集团股份有限公司付款
CT_000011,PAYS,SUP_003,TXN_IN_0006,Company,Transaction,付款-紫金矿业集团股份有限公司向中国建筑股份有限公司支付
CT_000012,RECEIVES,TXN_IN_0006,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到紫金矿业集团股份有限公司付款
CT_000013,PAYS,SUP_004,TXN_IN_0007,Company,Transaction,付款-江西铜业股份有限公司向中国建筑股份有限公司支付
CT_000014,RECEIVES,TXN_IN_0007,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到江西铜业股份有限公司付款
CT_000015,PAYS,SUP_004,TXN_IN_0008,Company,Transaction,付款-江西铜业股份有限公司向中国建筑股份有限公司支付
CT_000016,RECEIVES,TXN_IN_0008,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到江西铜业股份有限公司付款
CT_000017,PAYS,SUP_005,TXN_IN_0009,Company,Transaction,付款-中国北方稀土(集团)高科技股份有限公司向中国建筑股份有限公司支付
CT_000018,RECEIVES,TXN_IN_0009,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到中国北方稀土(集团)高科技股份有限公司付款
CT_000019,PAYS,SUP_005,TXN_IN_0010,Company,Transaction,付款-中国北方稀土(集团)高科技股份有限公司向中国建筑股份有限公司支付
CT_000020,RECEIVES,TXN_IN_0010,ORG_002,Transaction,Company,收款-中国建筑股份有限公司收到中国北方稀土(集团)高科技股份有限公司付款
CT_000021,PAYS,SUP_011,TXN_IN_0011,Company,Transaction,付款-特变电工股份有限公司向国家电网有限公司支付
CT_000022,RECEIVES,TXN_IN_0011,ORG_005,Transaction,Company,收款-国家电网有限公司收到特变电工股份有限公司付款
CT_000023,PAYS,SUP_011,TXN_IN_0012,Company,Transaction,付款-特变电工股份有限公司向国家电网有限公司支付
CT_000024,RECEIVES,TXN_IN_0012,ORG_005,Transaction,Company,收款-国家电网有限公司收到特变电工股份有限公司付款
CT_000025,PAYS,CUS_001,TXN_IN_0013,Company,Transaction,付款-宝山钢铁股份有限公司向中国石油集团工程股份有限公司支付
CT_000026,RECEIVES,TXN_IN_0013,SUP_011,Transaction,Company,收款-中国石油集团工程股份有限公司收到宝山钢铁股份有限公司付款
CT_000027,PAYS,CUS_001,TXN_IN_0014,Company,Transaction,付款-宝山钢铁股份有限公司向中国石油集团工程股份有限公司支付
CT_000028,RECEIVES,TXN_IN_0014,SUP_011,Transaction,Company,收款-中国石油集团工程股份有限公司收到宝山钢铁股份有限公司付款
CT_000029,PAYS,ORG_005,TXN_IN_0015,Company,Transaction,付款-中国北方稀土(集团)高科技股份有限公司向中国建筑集团有限公司支付
