edge_id,edge_type,from_node,to_node,from_type,to_type,properties
SUP_REL_0001,IS_SUPPLIER,SUP_001,ORG_002,Company,Company,供应商关系-宝山钢铁股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0002,IS_SUPPLIER,SUP_002,ORG_002,Company,Company,供应商关系-中国铝业股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0003,IS_SUPPLIER,SUP_003,ORG_002,Company,Company,供应商关系-紫金矿业集团股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0004,IS_SUPPLIER,SUP_004,ORG_002,Company,Company,供应商关系-江西铜业股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0005,IS_SUPPLIER,SUP_005,ORG_002,Company,Company,供应商关系-中国北方稀土(集团)高科技股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0006,IS_SUPPLIER,SUP_006,ORG_002,Company,Company,供应商关系-安徽海螺水泥股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0007,IS_SUPPLIER,SUP_007,ORG_002,Company,Company,供应商关系-天山材料股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0008,IS_SUPPLIER,SUP_008,ORG_002,Company,Company,供应商关系-中国中材国际工程股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0009,IS_SUPPLIER,SUP_009,ORG_002,Company,Company,供应商关系-中国有色金属建设股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0010,IS_SUPPLIER,SUP_010,ORG_002,Company,Company,供应商关系-中国巨石股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0011,IS_SUPPLIER,SUP_011,ORG_005,Company,Company,供应商关系-特变电工股份有限公司为国家电网有限公司提供服务
SUP_REL_0012,IS_SUPPLIER,SUP_011,CUS_001,Company,Company,供应商关系-特变电工股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0013,IS_SUPPLIER,SUP_009,CUS_016,Company,Company,供应商关系-中国有色金属建设股份有限公司为金地(集团)股份有限公司提供服务
SUP_REL_0014,IS_SUPPLIER,SUP_022,ORG_002,Company,Company,供应商关系-广联达科技股份有限公司为中国建筑股份有限公司提供服务
SUP_REL_0015,IS_SUPPLIER,SUP_017,CUS_022,Company,Company,供应商关系-东方电气股份有限公司为杭州滨江房产集团股份有限公司提供服务
SUP_REL_0016,IS_SUPPLIER,SUP_025,ORG_013,Company,Company,供应商关系-永兴特种材料科技股份有限公司为中国中车集团有限公司提供服务
SUP_REL_0017,IS_SUPPLIER,SUP_008,ORG_011,Company,Company,供应商关系-中国中材国际工程股份有限公司为中国石油集团工程股份有限公司提供服务
