edge_id,edge_type,from_node,to_node,from_type,to_type,properties
LP_0001,LEGAL_PERSON,USER_001,ORG_001,Person,Company,法人代表-中国建筑集团有限公司
LP_0002,LEGAL_PERSON,USER_002,ORG_002,Person,Company,法人代表-中国建筑股份有限公司
LP_0003,LEGAL_PERSON,USER_003,ORG_003,Person,Company,法人代表-中建西部建设股份有限公司
LP_0004,LEGAL_PERSON,USER_004,ORG_004,Person,Company,法人代表-中建环能科技股份有限公司
LP_0005,LEGAL_PERSON,USER_005,ORG_005,Person,Company,法人代表-国家电网有限公司
LP_0006,LEGAL_PERSON,USER_006,ORG_006,Person,Company,法人代表-国网英大股份有限公司
LP_0007,LEGAL_PERSON,USER_007,ORG_007,Person,Company,法人代表-国网信息通信股份有限公司
LP_0008,LEGAL_PERSON,USER_008,ORG_008,Person,Company,法人代表-许继电气股份有限公司
LP_0009,LEGAL_PERSON,USER_009,ORG_009,Person,Company,法人代表-中国石油天然气集团有限公司
LP_0010,LEGAL_PERSON,USER_010,ORG_010,Person,Company,法人代表-中国石油天然气股份有限公司
LP_0011,LEGAL_PERSON,USER_011,ORG_011,Person,Company,法人代表-中国石油集团工程股份有限公司
LP_0012,LEGAL_PERSON,USER_012,ORG_012,Person,Company,法人代表-中国石油集团资本股份有限公司
LP_0013,LEGAL_PERSON,USER_013,ORG_013,Person,Company,法人代表-中国中车集团有限公司
LP_0014,LEGAL_PERSON,USER_014,ORG_014,Person,Company,法人代表-中国中车股份有限公司
LP_0015,LEGAL_PERSON,USER_015,ORG_015,Person,Company,法人代表-株洲中车时代电气股份有限公司
LP_0016,LEGAL_PERSON,USER_016,ORG_016,Person,Company,法人代表-株洲时代新材料科技股份有限公司
LP_0017,LEGAL_PERSON,USER_017,ORG_017,Person,Company,法人代表-国家能源投资集团有限责任公司
LP_0018,LEGAL_PERSON,USER_018,ORG_018,Person,Company,法人代表-中国神华能源股份有限公司
LP_0019,LEGAL_PERSON,USER_019,ORG_019,Person,Company,法人代表-国电电力发展股份有限公司
LP_0020,LEGAL_PERSON,USER_020,ORG_020,Person,Company,法人代表-龙源电力集团股份有限公司
LP_0021,LEGAL_PERSON,USER_021,SUP_001,Person,Company,法人代表-宝山钢铁股份有限公司
LP_0022,LEGAL_PERSON,USER_022,SUP_002,Person,Company,法人代表-中国铝业股份有限公司
LP_0023,LEGAL_PERSON,USER_023,SUP_003,Person,Company,法人代表-紫金矿业集团股份有限公司
LP_0024,LEGAL_PERSON,USER_024,SUP_004,Person,Company,法人代表-江西铜业股份有限公司
LP_0025,LEGAL_PERSON,USER_025,SUP_005,Person,Company,法人代表-中国北方稀土(集团)高科技股份有限公司
LP_0026,LEGAL_PERSON,USER_026,SUP_006,Person,Company,法人代表-安徽海螺水泥股份有限公司
LP_0027,LEGAL_PERSON,USER_027,SUP_007,Person,Company,法人代表-天山材料股份有限公司
LP_0028,LEGAL_PERSON,USER_028,SUP_008,Person,Company,法人代表-中国中材国际工程股份有限公司
