edge_id,edge_type,from_node,to_node,from_type,to_type,properties
PARTY_0001,PARTY_A,ORG_002,CON_001,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0002,PARTY_B,SUP_001,CON_001,Company,Contract,乙方-宝山钢铁股份有限公司
PARTY_0003,PARTY_A,ORG_002,CON_002,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0004,PARTY_B,SUP_002,CON_002,Company,Contract,乙方-中国铝业股份有限公司
PARTY_0005,PARTY_A,ORG_002,CON_003,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0006,PARTY_B,SUP_003,CON_003,Company,Contract,乙方-紫金矿业集团股份有限公司
PARTY_0007,PARTY_A,ORG_002,CON_004,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0008,PARTY_B,SUP_004,CON_004,Company,Contract,乙方-江西铜业股份有限公司
PARTY_0009,PARTY_A,ORG_002,CON_005,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0010,PARTY_B,SUP_005,CON_005,Company,Contract,乙方-中国北方稀土(集团)高科技股份有限公司
PARTY_0011,PARTY_A,ORG_002,CON_006,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0012,PARTY_B,SUP_006,CON_006,Company,Contract,乙方-安徽海螺水泥股份有限公司
PARTY_0013,PARTY_A,ORG_002,CON_007,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0014,PARTY_B,SUP_007,CON_007,Company,Contract,乙方-天山材料股份有限公司
PARTY_0015,PARTY_A,ORG_002,CON_008,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0016,PARTY_B,SUP_008,CON_008,Company,Contract,乙方-中国中材国际工程股份有限公司
PARTY_0017,PARTY_A,ORG_002,CON_009,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0018,PARTY_B,SUP_009,CON_009,Company,Contract,乙方-中国有色金属建设股份有限公司
PARTY_0019,PARTY_A,ORG_002,CON_010,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0020,PARTY_B,SUP_010,CON_010,Company,Contract,乙方-中国巨石股份有限公司
PARTY_0021,PARTY_A,ORG_005,CON_011,Company,Contract,甲方-国家电网有限公司
PARTY_0022,PARTY_B,SUP_011,CON_011,Company,Contract,乙方-特变电工股份有限公司
PARTY_0023,PARTY_A,SUP_011,CON_012,Company,Contract,甲方-特变电工股份有限公司
PARTY_0024,PARTY_B,CUS_001,CON_012,Company,Contract,乙方-中国建筑股份有限公司
PARTY_0025,PARTY_A,CUS_001,CON_013,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0026,PARTY_B,ORG_005,CON_013,Company,Contract,乙方-国家电网有限公司
PARTY_0027,PARTY_A,CUS_016,CON_014,Company,Contract,甲方-金地(集团)股份有限公司
PARTY_0028,PARTY_B,SUP_009,CON_014,Company,Contract,乙方-中国有色金属建设股份有限公司
PARTY_0029,PARTY_A,ORG_002,CON_015,Company,Contract,甲方-中国建筑股份有限公司
PARTY_0030,PARTY_B,SUP_022,CON_015,Company,Contract,乙方-广联达科技股份有限公司
PARTY_0031,PARTY_A,CUS_022,CON_016,Company,Contract,甲方-杭州滨江房产集团股份有限公司
PARTY_0032,PARTY_B,SUP_017,CON_016,Company,Contract,乙方-东方电气股份有限公司
PARTY_0033,PARTY_A,CUS_021,CON_017,Company,Contract,甲方-华夏幸福基业股份有限公司
PARTY_0034,PARTY_B,CP_009,CON_017,Company,Contract,乙方-启迪设计集团股份有限公司
PARTY_0035,PARTY_A,CUS_017,CON_018,Company,Contract,甲方-珠海华发实业股份有限公司
PARTY_0036,PARTY_B,CP_001,CON_018,Company,Contract,乙方-华东建筑集团股份有限公司
PARTY_0037,PARTY_A,ORG_013,CON_019,Company,Contract,甲方-中国中车集团有限公司
PARTY_0038,PARTY_B,SUP_025,CON_019,Company,Contract,乙方-永兴特种材料科技股份有限公司
PARTY_0039,PARTY_A,ORG_011,CON_020,Company,Contract,甲方-中国石油集团工程股份有限公司
PARTY_0040,PARTY_B,SUP_008,CON_020,Company,Contract,乙方-中国中材国际工程股份有限公司
PARTY_0041,PARTY_A,CUS_026,CON_021,Company,Contract,甲方-南京栖霞建设股份有限公司
PARTY_0042,PARTY_B,CP_005,CON_021,Company,Contract,乙方-深圳市建筑科学研究院股份有限公司
PARTY_0043,PARTY_A,ORG_003,CON_022,Company,Contract,甲方-中建西部建设股份有限公司
PARTY_0044,PARTY_B,CP_009,CON_022,Company,Contract,乙方-启迪设计集团股份有限公司
PARTY_0045,PARTY_A,CUS_017,CON_023,Company,Contract,甲方-珠海华发实业股份有限公司
PARTY_0046,PARTY_B,SUP_012,CON_023,Company,Contract,乙方-上海振华重工(集团)股份有限公司
PARTY_0047,PARTY_A,ORG_017,CON_024,Company,Contract,甲方-国家能源投资集团有限责任公司
PARTY_0048,PARTY_B,SUP_005,CON_024,Company,Contract,乙方-中国北方稀土(集团)高科技股份有限公司
PARTY_0049,PARTY_A,CUS_011,CON_025,Company,Contract,甲方-万科企业股份有限公司
PARTY_0050,PARTY_B,CUS_004,CON_025,Company,Contract,乙方-中国交通建设股份有限公司
PARTY_0051,PARTY_A,CUS_012,CON_026,Company,Contract,甲方-保利发展控股集团股份有限公司
PARTY_0052,PARTY_B,SUP_028,CON_026,Company,Contract,乙方-福耀玻璃工业集团股份有限公司
PARTY_0053,PARTY_A,CUS_025,CON_027,Company,Contract,甲方-北京首都开发股份有限公司
PARTY_0054,PARTY_B,SUP_017,CON_027,Company,Contract,乙方-东方电气股份有限公司
PARTY_0055,PARTY_A,ORG_010,CON_028,Company,Contract,甲方-中国石油天然气股份有限公司
PARTY_0056,PARTY_B,CP_008,CON_028,Company,Contract,乙方-海波重型工程科技股份有限公司
PARTY_0057,PARTY_A,CUS_015,CON_029,Company,Contract,甲方-绿地控股集团股份有限公司
PARTY_0058,PARTY_B,SUP_030,CON_029,Company,Contract,乙方-万华化学集团股份有限公司
PARTY_0059,PARTY_A,ORG_012,CON_030,Company,Contract,甲方-中国石油集团资本股份有限公司
PARTY_0060,PARTY_B,CP_005,CON_030,Company,Contract,乙方-深圳市建筑科学研究院股份有限公司
PARTY_0061,PARTY_A,ORG_001,CON_031,Company,Contract,甲方-中国建筑集团有限公司
PARTY_0062,PARTY_B,SUP_002,CON_031,Company,Contract,乙方-中国铝业股份有限公司
PARTY_0063,PARTY_A,ORG_005,CON_032,Company,Contract,甲方-国家电网有限公司
PARTY_0064,PARTY_B,CUS_017,CON_032,Company,Contract,乙方-珠海华发实业股份有限公司
PARTY_0065,PARTY_A,CUS_014,CON_033,Company,Contract,甲方-深圳华侨城股份有限公司
PARTY_0066,PARTY_B,CUS_017,CON_033,Company,Contract,乙方-珠海华发实业股份有限公司
PARTY_0067,PARTY_A,ORG_009,CON_034,Company,Contract,甲方-中国石油天然气集团有限公司
PARTY_0068,PARTY_B,CUS_004,CON_034,Company,Contract,乙方-中国交通建设股份有限公司
PARTY_0069,PARTY_A,CUS_020,CON_035,Company,Contract,甲方-珠海珠免集团股份有限公司
PARTY_0070,PARTY_B,CP_009,CON_035,Company,Contract,乙方-启迪设计集团股份有限公司
PARTY_0071,PARTY_A,ORG_020,CON_036,Company,Contract,甲方-龙源电力集团股份有限公司
PARTY_0072,PARTY_B,CP_003,CON_036,Company,Contract,乙方-中工国际工程股份有限公司
PARTY_0073,PARTY_A,CUS_026,CON_037,Company,Contract,甲方-南京栖霞建设股份有限公司
PARTY_0074,PARTY_B,SUP_029,CON_037,Company,Contract,乙方-中国振华(集团)科技股份有限公司
PARTY_0075,PARTY_A,CUS_013,CON_038,Company,Contract,甲方-招商局蛇口工业区控股股份有限公司
PARTY_0076,PARTY_B,CP_010,CON_038,Company,Contract,乙方-河北中瓷电子科技股份有限公司
PARTY_0077,PARTY_A,CUS_003,CON_039,Company,Contract,甲方-中国中铁股份有限公司
PARTY_0078,PARTY_B,SUP_025,CON_039,Company,Contract,乙方-永兴特种材料科技股份有限公司
PARTY_0079,PARTY_A,CUS_029,CON_040,Company,Contract,甲方-北京万通新发展集团股份有限公司
PARTY_0080,PARTY_B,CP_010,CON_040,Company,Contract,乙方-河北中瓷电子科技股份有限公司
PARTY_0081,PARTY_A,CUS_021,CON_041,Company,Contract,甲方-华夏幸福基业股份有限公司
PARTY_0082,PARTY_B,SUP_011,CON_041,Company,Contract,乙方-特变电工股份有限公司
PARTY_0083,PARTY_A,CUS_029,CON_042,Company,Contract,甲方-北京万通新发展集团股份有限公司
PARTY_0084,PARTY_B,SUP_021,CON_042,Company,Contract,乙方-北京东方雨虹防水技术股份有限公司
PARTY_0085,PARTY_A,ORG_007,CON_043,Company,Contract,甲方-国网信息通信股份有限公司
PARTY_0086,PARTY_B,SUP_018,CON_043,Company,Contract,乙方-国电南瑞科技股份有限公司
PARTY_0087,PARTY_A,ORG_001,CON_044,Company,Contract,甲方-中国建筑集团有限公司
PARTY_0088,PARTY_B,CUS_004,CON_044,Company,Contract,乙方-中国交通建设股份有限公司
