node_id,node_type,name,number,id_card,gender,birthday,status,email,phone
USER_001,Person,朱秀兰,EMP0001,310162195412245614,2,1982/1/27,C,emp0001@cnbuild-mail.com,13962000001
USER_002,Person,黄洋,EMP0002,310141197811182208,1,2000/9/28,C,emp0002@project.office.cn,13862000002
USER_003,Person,吴霞,EMP0003,310185195012103629,1,1998/8/5,C,emp0003@opsline.cn,13762000003
USER_004,Person,赵伟,EMP0004,310116197411224687,2,1970/6/12,C,emp0004@hqmail.local,13662000004
USER_005,Person,胡敏,EMP0005,310175198711229314,1,1985/11/28,C,emp0005@cnbuild-mail.com,15862000005
USER_006,Person,马强,EMP0006,310126195311166923,1,1998/6/20,C,emp0006@project.office.cn,15962000006
USER_007,Person,高涛,EMP0007,310191195310208722,1,2000/7/8,C,emp0007@opsline.cn,17862000007
USER_008,Person,高勇,EMP0008,310164197811281307,2,1977/2/24,C,emp0008@hqmail.local,18862000008
USER_009,Person,胡芳,EMP0009,310152197010238726,2,1998/1/1,C,emp0009@cnbuild-mail.com,13962000009
USER_010,Person,朱超,EMP0010,310137196010284437,2,1992/6/11,C,emp0010@project.office.cn,13762000011
USER_011,Person,孙军,EMP0011,310167198610235034,1,1973/5/9,C,emp0011@opsline.cn,13762000011
USER_012,Person,胡伟,EMP0012,310145196712112331,1,1973/9/20,C,emp0012@hqmail.local,13662000012
USER_013,Person,陈娜,EMP0013,310119197710207004,1,1998/11/12,C,emp0013@cnbuild-mail.com,15862000013
USER_014,Person,郭明,EMP0014,310148197210272731,1,1998/2/1,C,emp0014@project.office.cn,13762000011
USER_015,Person,徐杰,EMP0015,310196195811231166,2,1972/1/22,C,emp0015@opsline.cn,17862000015
USER_016,Person,张强,EMP0016,310141197812111851,1,1998/1/21,C,emp0016@hqmail.local,18862000016
USER_017,Person,徐军,EMP0017,310124200012274800,1,1990/8/11,C,emp0017@cnbuild-mail.com,13962000017
USER_018,Person,刘磊,EMP0018,310129195910279380,2,1985/10/9,C,emp0018@project.office.cn,13862000018
USER_019,Person,孙秀兰,EMP0019,310178198212103439,2,1997/6/27,C,emp0019@opsline.cn,13762000019
USER_020,Person,何丽,EMP0020,310182195710266621,2,1989/7/8,C,emp0020@hqmail.local,13662000020
USER_021,Person,刘军,EMP0021,310113197510268776,2,1987/2/23,C,emp0021@cnbuild-mail.com,15862000021
USER_022,Person,赵明,EMP0022,310136195810237567,1,1992/9/19,C,emp0022@project.office.cn,15962000022
USER_023,Person,周涛,EMP0023,310192195511132985,1,1975/10/2,C,emp0023@opsline.cn,17862000023
USER_024,Person,赵军,EMP0024,310148196212241034,2,1977/9/21,C,emp0024@hqmail.local,18862000024
USER_025,Person,李秀英,EMP0025,310116197511157553,1,1976/1/9,C,emp0025@cnbuild-mail.com,13962000025
USER_026,Person,徐杰,EMP0026,310138195610201067,2,1991/10/7,C,emp0026@project.office.cn,13862000026
USER_027,Person,赵军,EMP0027,310144199610237566,1,1979/11/17,C,emp0027@opsline.cn,13762000027
USER_028,Person,杨静,EMP0028,310122195711273060,1,1978/7/26,C,emp0028@hqmail.local,13662000028
USER_029,Person,郭娜,EMP0029,310153197610285897,1,1974/9/5,C,emp0029@cnbuild-mail.com,15862000029
USER_030,Person,郭丽,EMP0030,310196200010117388,1,1991/12/10,C,emp0030@project.office.cn,15962000030
USER_031,Person,陈伟,EMP0031,310137196211267607,1,1997/12/17,C,emp0031@opsline.cn,17862000031
USER_032,Person,黄秀英,EMP0032,310182198212243287,1,1999/2/19,C,emp0032@hqmail.local,18862000032
USER_033,Person,张明,EMP0033,310128199912116582,2,1989/11/6,C,emp0033@cnbuild-mail.com,13962000033
USER_034,Person,张涛,EMP0034,310180199811192559,2,1992/11/2,C,emp0034@project.office.cn,13862000034
USER_035,Person,周杰,EMP0035,310198196112139455,2,1976/7/14,C,emp0035@opsline.cn,13762000035
USER_036,Person,徐军,EMP0036,310143195610267974,2,1990/6/24,C,emp0036@hqmail.local,13662000036
USER_037,Person,高涛,EMP0037,310177196711233877,2,1991/3/15,C,emp0037@cnbuild-mail.com,15862000037
USER_038,Person,张涛,EMP0038,310150195512116543,1,1998/2/24,C,emp0038@project.office.cn,15962000038
USER_039,Person,高洋,EMP0039,310189196010139881,2,1996/9/21,C,emp0039@opsline.cn,17862000039
USER_040,Person,赵平,EMP0040,310143198610152270,1,1980/7/24,C,emp0040@hqmail.local,18862000040
USER_041,Person,陈伟,EMP0041,310118195510199204,2,1993/4/10,C,emp0041@cnbuild-mail.com,13962000041
USER_042,Person,周艳,EMP0042,310152199910153556,1,1983/10/28,C,emp0042@project.office.cn,13862000042
USER_043,Person,张洋,EMP0043,310160199111184422,2,1994/11/13,C,emp0043@opsline.cn,13762000043
USER_044,Person,罗静,EMP0044,310156195012263583,2,1996/9/23,C,emp0044@hqmail.local,13662000044
USER_045,Person,吴丽,EMP0045,310162198711256551,2,1971/12/12,C,emp0045@cnbuild-mail.com,15862000045
USER_046,Person,陈秀英,EMP0046,310188198711171661,2,1972/7/11,C,emp0046@project.office.cn,15962000046
USER_047,Person,周芳,EMP0047,310127198012202003,2,1983/9/5,C,emp0047@opsline.cn,17862000047
USER_048,Person,黄杰,EMP0048,310195198110206144,1,1980/12/2,C,emp0048@hqmail.local,18862000048
USER_049,Person,赵强,EMP0049,310175198510284346,2,1981/9/26,C,emp0049@cnbuild-mail.com,13962000049
USER_050,Person,黄洋,EMP0050,310137199511223525,2,1979/9/22,C,emp0050@project.office.cn,13862000050
