fid,feid,ftid,fuid,fopenid,fnumber,fphone,femail,fstatus,fgender,fbirthday,fidcard,favatar,fusertype,fnickname,ffullpinyin,fsimplepinyin,fdptid,fpositionid,fsortcode,fbillssatusfield,fhiredate,fenable,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fdisablerid,fdisabledate,fsource,fmaintain,fstartdate,fenddate,fmasterid,fheadsculpture,ftruename,fcountryid,fsortnumber,fidtype,fns_country,fns_namestyle,fns_firstname,fns_middlename,fns_lastname,fns_title,fns_abbr,fns_nickname,fns_posttitle,fns_customfield1,fns_customfield2,fns_customfield3,fns_customfield4
1,,,,,EMP0001,,,C,2,1982-01-27,310162195412245614,,,,,,,,,,,,,2025-05-05,,,,,,,,,,,朱秀兰,,,1,0,,,,,,,,,,,,
2,,,,,EMP0002,,,C,1,2000-09-28,310141197811182208,,,,,,,,,,,,,2024-11-23,,,,,,,,,,,黄洋,,,1,0,,,,,,,,,,,,
3,,,,,EMP0003,,,C,1,1998-08-05,310185195012103629,,,,,,,,,,,,,2024-12-11,,,,,,,,,,,吴霞,,,1,0,,,,,,,,,,,,
4,,,,,EMP0004,,,C,2,1970-06-12,310116197411224687,,,,,,,,,,,,,2023-12-12,,,,,,,,,,,赵伟,,,1,0,,,,,,,,,,,,
5,,,,,EMP0005,,,C,1,1985-11-28,310175198711229314,,,,,,,,,,,,,2024-06-10,,,,,,,,,,,胡敏,,,1,0,,,,,,,,,,,,
6,,,,,EMP0006,,,C,1,1998-06-20,310126195311166923,,,,,,,,,,,,,2024-04-28,,,,,,,,,,,马强,,,1,0,,,,,,,,,,,,
7,,,,,EMP0007,,,C,1,2000-07-08,310191195310208722,,,,,,,,,,,,,2024-01-01,,,,,,,,,,,高涛,,,1,0,,,,,,,,,,,,
8,,,,,EMP0008,,,C,2,1977-02-24,310164197811281307,,,,,,,,,,,,,2024-01-19,,,,,,,,,,,高勇,,,1,0,,,,,,,,,,,,
9,,,,,EMP0009,,,C,2,1998-01-01,310152197010238726,,,,,,,,,,,,,2025-01-15,,,,,,,,,,,胡芳,,,1,0,,,,,,,,,,,,
10,,,,,EMP0010,,,C,2,1992-06-11,310137196010284437,,,,,,,,,,,,,2025-04-13,,,,,,,,,,,朱超,,,1,0,,,,,,,,,,,,
11,,,,,EMP0011,,,C,1,1973-05-09,310167198610235034,,,,,,,,,,,,,2024-09-28,,,,,,,,,,,孙军,,,1,0,,,,,,,,,,,,
12,,,,,EMP0012,,,C,1,1973-09-20,310145196712112331,,,,,,,,,,,,,2023-04-28,,,,,,,,,,,胡伟,,,1,0,,,,,,,,,,,,
13,,,,,EMP0013,,,C,1,1998-11-12,310119197710207004,,,,,,,,,,,,,2025-05-02,,,,,,,,,,,陈娜,,,1,0,,,,,,,,,,,,
14,,,,,EMP0014,,,C,1,1998-02-01,310148197210272731,,,,,,,,,,,,,2023-08-30,,,,,,,,,,,郭明,,,1,0,,,,,,,,,,,,
15,,,,,EMP0015,,,C,2,1972-01-22,310196195811231166,,,,,,,,,,,,,2024-09-11,,,,,,,,,,,徐杰,,,1,0,,,,,,,,,,,,
16,,,,,EMP0016,,,C,1,1998-01-21,310141197812111851,,,,,,,,,,,,,2023-12-06,,,,,,,,,,,张强,,,1,0,,,,,,,,,,,,
17,,,,,EMP0017,,,C,1,1990-08-11,310124200012274800,,,,,,,,,,,,,2025-03-10,,,,,,,,,,,徐军,,,1,0,,,,,,,,,,,,
18,,,,,EMP0018,,,C,2,1985-10-09,310129195910279380,,,,,,,,,,,,,2024-05-18,,,,,,,,,,,刘磊,,,1,0,,,,,,,,,,,,
19,,,,,EMP0019,,,C,2,1997-06-27,310178198212103439,,,,,,,,,,,,,2023-07-16,,,,,,,,,,,孙秀兰,,,1,0,,,,,,,,,,,,
