edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CASE_P_0001,INVOLVED_IN,USER_001,CASE_001,Person,LegalEvent,经办人-朱秀兰
CASE_P_0002,INVOLVED_IN,USER_002,CASE_002,Person,LegalEvent,经办人-黄洋
CASE_P_0003,INVOLVED_IN,USER_003,CASE_003,Person,LegalEvent,经办人-吴霞
CASE_P_0004,INVOLVED_IN,USER_004,CASE_004,Person,LegalEvent,经办人-赵伟
CASE_P_0005,INVOLVED_IN,USER_005,CASE_005,Person,LegalEvent,经办人-胡敏
CASE_P_0006,INVOLVED_IN,USER_006,CASE_006,Person,LegalEvent,经办人-马强
CASE_P_0007,INVOLVED_IN,USER_007,CASE_007,Person,LegalEvent,经办人-高涛
CASE_P_0008,INVOLVED_IN,USER_008,CASE_008,Person,LegalEvent,经办人-高勇
CASE_P_0009,INVOLVED_IN,USER_009,CASE_009,Person,LegalEvent,经办人-胡芳
CASE_P_0010,INVOLVED_IN,USER_010,CASE_010,Person,LegalEvent,经办人-朱超
