edge_id,edge_type,from_node,to_node,from_type,to_type,properties
LP_0001,LEGAL_PERSON,USER_001,ORG_001,Person,Company,法人代表关系-中央建设集团有限公司
LP_0002,LEGAL_PERSON,USER_002,ORG_002,Person,Company,法人代表关系-中建华东分公司
LP_0003,LEGAL_PERSON,USER_003,ORG_003,Person,Company,法人代表关系-中建华南分公司
LP_0004,LEGAL_PERSON,USER_004,ORG_004,Person,Company,法人代表关系-中建西部分公司
LP_0005,LEGAL_PERSON,USER_005,ORG_005,Person,Company,法人代表关系-国家电网集团公司
LP_0006,LEGAL_PERSON,USER_006,ORG_006,Person,Company,法人代表关系-国网华北电力公司
LP_0007,LEGAL_PERSON,USER_007,ORG_007,Person,Company,法人代表关系-国网华中电力公司
LP_0008,LEGAL_PERSON,USER_008,ORG_008,Person,Company,法人代表关系-国网华南电力公司
LP_0009,LEGAL_PERSON,USER_009,ORG_009,Person,Company,法人代表关系-中国石油天然气集团
LP_0010,LEGAL_PERSON,USER_010,ORG_010,Person,Company,法人代表关系-中石油华东销售公司
LP_0011,LEGAL_PERSON,USER_011,ORG_011,Person,Company,法人代表关系-中石油华南销售公司
LP_0012,LEGAL_PERSON,USER_012,ORG_012,Person,Company,法人代表关系-中国铁路工程集团
LP_0013,LEGAL_PERSON,USER_013,ORG_013,Person,Company,法人代表关系-中铁华东工程公司
LP_0014,LEGAL_PERSON,USER_014,ORG_014,Person,Company,法人代表关系-中铁华南工程公司
LP_0015,LEGAL_PERSON,USER_015,ORG_015,Person,Company,法人代表关系-中国交通建设集团
LP_0016,LEGAL_PERSON,USER_016,ORG_016,Person,Company,法人代表关系-中交华东建设公司
LP_0017,LEGAL_PERSON,USER_017,ORG_017,Person,Company,法人代表关系-中交华南建设公司
LP_0018,LEGAL_PERSON,USER_018,ORG_018,Person,Company,法人代表关系-中国能源建设集团
LP_0019,LEGAL_PERSON,USER_019,ORG_019,Person,Company,法人代表关系-中能华东建设公司
LP_0020,LEGAL_PERSON,USER_020,ORG_020,Person,Company,法人代表关系-中能华南建设公司
LP_0021,LEGAL_PERSON,USER_021,SUP_001,Person,Company,法人代表关系-华信建材有限公司
LP_0022,LEGAL_PERSON,USER_022,SUP_002,Person,Company,法人代表关系-东方钢铁集团
