FID,FNUMBER,FNAME,FARTIFICIALPERSON,FTAXNO,FSTATUS,FBUSINESSSCOPE,FCREATETIME
1,SUP0001,华信建材有限公司,刘军,358459634065274,C,建筑材料、机械设备销售,2024-02-06
2,SUP0002,东方钢铁集团,赵明,673873471577546,C,建筑材料、机械设备销售,2024-11-23
3,SUP0003,盛达水泥制造,周涛,704874642086356,C,建筑材料、机械设备销售,2024-02-19
4,SUP0004,鑫源建筑材料,赵军,292076802295683,C,建筑材料、机械设备销售,2024-06-16
5,SUP0005,宏图机械设备,李秀英,187021348830426,C,建筑材料、机械设备销售,2024-11-27
6,SUP0006,天成电气设备,徐杰,846772042654242,C,建筑材料、机械设备销售,2025-03-26
7,SUP0007,瑞丰五金制品,赵军,839929371301841,C,建筑材料、机械设备销售,2023-09-22
8,SUP0008,博达工程机械,杨静,676532562677139,C,建筑材料、机械设备销售,2025-01-28
9,SUP0009,金石建材供应,郭娜,664373381328890,C,建筑材料、机械设备销售,2024-08-26
10,SUP0010,永盛钢构工程,郭丽,852829752658487,C,建筑材料、机械设备销售,2024-05-11
11,SUP0011,中天建筑材料,陈伟,991460743032405,C,建筑材料、机械设备销售,2024-02-11
12,SUP0012,恒泰机电设备,黄秀英,487879140390058,C,建筑材料、机械设备销售,2023-11-16
13,SUP0013,华强电力设备,张明,934150515559717,C,建筑材料、机械设备销售,2025-04-12
14,SUP0014,鼎盛建筑器材,张涛,344199306695797,C,建筑材料、机械设备销售,2024-09-30
15,SUP0015,新世纪建材,周杰,813032092124953,C,建筑材料、机械设备销售,2023-09-27
16,SUP0016,联创机械制造,徐军,843871766237454,C,建筑材料、机械设备销售,2024-10-02
17,SUP0017,远大建筑材料,高涛,176082159585724,C,建筑材料、机械设备销售,2024-03-09
18,SUP0018,兴业钢铁贸易,张涛,345222421859423,C,建筑材料、机械设备销售,2024-06-10
19,SUP0019,诚信建材批发,高洋,237836243004849,C,建筑材料、机械设备销售,2024-05-30
20,SUP0020,宏达机电设备,赵平,128195055372343,C,建筑材料、机械设备销售,2024-08-28
21,SUP0021,锦绣建筑材料,陈伟,206395184164716,C,建筑材料、机械设备销售,2024-01-23
22,SUP0022,腾飞机械设备,周艳,124646668677497,C,建筑材料、机械设备销售,2024-02-16
23,SUP0023,盛世建材集团,张洋,714206187942032,C,建筑材料、机械设备销售,2024-08-21
24,SUP0024,华美电气设备,罗静,743418828857453,C,建筑材料、机械设备销售,2024-09-22
25,SUP0025,金鼎建筑器材,吴丽,961378213056847,C,建筑材料、机械设备销售,2024-11-27
26,SUP0026,瑞祥机电设备,陈秀英,316217129141859,C,建筑材料、机械设备销售,2024-07-29
27,SUP0027,天宇建材供应,周芳,846268528370962,C,建筑材料、机械设备销售,2024-10-08
28,SUP0028,博瑞工程设备,黄杰,725242132062471,C,建筑材料、机械设备销售,2023-09-14
29,SUP0029,鑫达建筑材料,赵强,765637629899447,C,建筑材料、机械设备销售,2024-04-04
30,SUP0030,恒信机械设备,黄洋,640136434520984,C,建筑材料、机械设备销售,2024-04-19
