FID,FNUMBER,FNAME,FORGTYPE,FUNIFORMSOCIALCREDITCODE,FARTIFICIALPERSON,FSTATUS,FESTABLISHMENTDATE,FPARENTORGID,FDESCRIPTION
1,ORG001,中央建设集团有限公司,央企,91119098MA46646336,朱秀兰,C,2016-11-06,,中央建设集团有限公司的详细描述
2,ORG002,中建华东分公司,分公司,91117491MA55868447,黄洋,C,2008-08-04,1,中建华东分公司的详细描述
3,ORG003,中建华南分公司,分公司,91116764MA10205044,吴霞,C,2020-11-06,1,中建华南分公司的详细描述
4,ORG004,中建西部分公司,分公司,91115791MA16611630,赵伟,C,2017-02-04,1,中建西部分公司的详细描述
5,ORG005,国家电网集团公司,央企,91116857MA60025372,胡敏,C,2016-10-25,,国家电网集团公司的详细描述
6,ORG006,国网华北电力公司,分公司,91112699MA46919280,马强,C,2005-08-03,5,国网华北电力公司的详细描述
7,ORG007,国网华中电力公司,分公司,91113288MA43510439,高涛,C,2016-02-08,5,国网华中电力公司的详细描述
8,ORG008,国网华南电力公司,分公司,91115585MA96755271,高勇,C,2015-11-05,5,国网华南电力公司的详细描述
9,ORG009,中国石油天然气集团,央企,91114496MA71987975,胡芳,C,2016-12-02,,中国石油天然气集团的详细描述
10,ORG010,中石油华东销售公司,分公司,91119299MA57646619,朱超,C,2019-06-02,9,中石油华东销售公司的详细描述
11,ORG011,中石油华南销售公司,分公司,91112701MA75690892,孙军,C,2013-12-05,9,中石油华南销售公司的详细描述
12,ORG012,中国铁路工程集团,分公司,91114679MA64719795,胡伟,C,2012-11-17,9,中国铁路工程集团的详细描述
13,ORG013,中铁华东工程公司,央企,91117647MA15097807,陈娜,C,2014-03-12,,中铁华东工程公司的详细描述
14,ORG014,中铁华南工程公司,分公司,91114599MA69935062,郭明,C,2012-03-19,13,中铁华南工程公司的详细描述
15,ORG015,中国交通建设集团,分公司,91117478MA50030729,徐杰,C,2011-09-15,13,中国交通建设集团的详细描述
16,ORG016,中交华东建设公司,分公司,91115256MA77678379,张强,C,2016-05-19,13,中交华东建设公司的详细描述
17,ORG017,中交华南建设公司,央企,91111521MA32929698,徐军,C,2014-08-17,,中交华南建设公司的详细描述
18,ORG018,中国能源建设集团,分公司,91118869MA74238054,刘磊,C,2017-03-26,17,中国能源建设集团的详细描述
19,ORG019,中能华东建设公司,分公司,91117691MA37999834,孙秀兰,C,2013-04-17,17,中能华东建设公司的详细描述
20,ORG020,中能华南建设公司,分公司,91112639MA69843893,何丽,C,2004-04-08,17,中能华南建设公司的详细描述
