FID,FNUMBER,FTRUENAME,FIDCARD,FIDTYPE,FSTATUS,FGENDER,FBIRTHDAY,FCREATETIME
1,EMP0001,朱秀兰,310162195412245614,1,C,2,1982-01-27,2025-05-05
2,EMP0002,黄洋,310141197811182208,1,C,1,2000-09-28,2024-11-23
3,EMP0003,吴霞,310185195012103629,1,C,1,1998-08-05,2024-12-11
4,EMP0004,赵伟,310116197411224687,1,C,2,1970-06-12,2023-12-12
5,EMP0005,胡敏,310175198711229314,1,C,1,1985-11-28,2024-06-10
6,EMP0006,马强,310126195311166923,1,C,1,1998-06-20,2024-04-28
7,EMP0007,高涛,310191195310208722,1,C,1,2000-07-08,2024-01-01
8,EMP0008,高勇,310164197811281307,1,C,2,1977-02-24,2024-01-19
9,EMP0009,胡芳,310152197010238726,1,C,2,1998-01-01,2025-01-15
10,EMP0010,朱超,310137196010284437,1,C,2,1992-06-11,2025-04-13
11,EMP0011,孙军,310167198610235034,1,C,1,1973-05-09,2024-09-28
12,EMP0012,胡伟,310145196712112331,1,C,1,1973-09-20,2023-04-28
13,EMP0013,陈娜,310119197710207004,1,C,1,1998-11-12,2025-05-02
14,EMP0014,郭明,310148197210272731,1,C,1,1998-02-01,2023-08-30
15,EMP0015,徐杰,310196195811231166,1,C,2,1972-01-22,2024-09-11
16,EMP0016,张强,310141197812111851,1,C,1,1998-01-21,2023-12-06
17,EMP0017,徐军,310124200012274800,1,C,1,1990-08-11,2025-03-10
18,EMP0018,刘磊,310129195910279380,1,C,2,1985-10-09,2024-05-18
19,EMP0019,孙秀兰,310178198212103439,1,C,2,1997-06-27,2023-07-16
20,EMP0020,何丽,310182195710266621,1,C,2,1989-07-08,2025-07-12
21,EMP0021,刘军,310113197510268776,1,C,2,1987-02-23,2024-01-17
22,EMP0022,赵明,310136195810237567,1,C,1,1992-09-19,2024-12-15
23,EMP0023,周涛,310192195511132985,1,C,1,1975-10-02,2023-10-10
24,EMP0024,赵军,310148196212241034,1,C,2,1977-09-21,2024-12-10
25,EMP0025,李秀英,310116197511157553,1,C,1,1976-01-09,2024-01-18
26,EMP0026,徐杰,310138195610201067,1,C,2,1991-10-07,2025-01-17
27,EMP0027,赵军,310144199610237566,1,C,1,1979-11-17,2023-09-06
28,EMP0028,杨静,310122195711273060,1,C,1,1978-07-26,2025-04-16
29,EMP0029,郭娜,310153197610285897,1,C,1,1974-09-05,2023-09-09
30,EMP0030,郭丽,310196200010117388,1,C,1,1991-12-10,2023-11-12
31,EMP0031,陈伟,310137196211267607,1,C,1,1997-12-17,2023-06-28
32,EMP0032,黄秀英,310182198212243287,1,C,1,1999-02-19,2024-09-17
33,EMP0033,张明,310128199912116582,1,C,2,1989-11-06,2024-04-24
